Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
Loading dataloaders..
      Image      Total          P          R        mAP
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
